Sr.No,Round ▲▼,Institute ▲▼,Program ▲▼,Stream ▲▼,Seat Type ▲▼,Quota ▲▼,Category ▲▼,Opening Rank ▲▼,Closing Rank ▲▼
12,Round 1,"GOVERMENT COLLEGE OF ENGINEERING AND LEATHER TECHNOLOGY, KOLKATA",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - B,460,502
13,Round 1,"GOVERMENT COLLEGE OF ENGINEERING AND LEATHER TECHNOLOGY, KOLKATA",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,EWS,770,770
14,Round 1,"GOVERMENT COLLEGE OF ENGINEERING AND LEATHER TECHNOLOGY, KOLKATA",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,Open,174,404
15,Round 1,"GOVERMENT COLLEGE OF ENGINEERING AND LEATHER TECHNOLOGY, KOLKATA",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,SC,590,618
16,Round 1,"GOVERMENT COLLEGE OF ENGINEERING AND LEATHER TECHNOLOGY, KOLKATA",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,ST,1252,1252
17,Round 1,"GOVERMENT COLLEGE OF ENGINEERING AND LEATHER TECHNOLOGY, KOLKATA",Leather Technology,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - A,3369,3369
18,Round 1,"GOVERMENT COLLEGE OF ENGINEERING AND LEATHER TECHNOLOGY, KOLKATA",Leather Technology,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - B,2603,2603
19,Round 1,"GOVERMENT COLLEGE OF ENGINEERING AND LEATHER TECHNOLOGY, KOLKATA",Leather Technology,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,Open,742,2033
20,Round 1,"GOVERMENT COLLEGE OF ENGINEERING AND LEATHER TECHNOLOGY, KOLKATA",Leather Technology,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,SC,2454,3108
21,Round 1,"GOVT. COLLEGE OF ENGG. & TEXTILE TECHNOLOGY, BERHAMPORE",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - A,923,923
22,Round 1,"GOVT. COLLEGE OF ENGG. & TEXTILE TECHNOLOGY, BERHAMPORE",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,EWS,1549,1549
23,Round 1,"GOVT. COLLEGE OF ENGG. & TEXTILE TECHNOLOGY, BERHAMPORE",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,Open,230,377
24,Round 1,"GOVT. COLLEGE OF ENGG. & TEXTILE TECHNOLOGY, BERHAMPORE",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,SC,585,615
25,Round 1,"GOVT. COLLEGE OF ENGG. & TEXTILE TECHNOLOGY, BERHAMPORE",Mechanical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,EWS,4002,4002
26,Round 1,"GOVT. COLLEGE OF ENGG. & TEXTILE TECHNOLOGY, BERHAMPORE",Mechanical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,Open,300,760
27,Round 1,"GOVT. COLLEGE OF ENGG. & TEXTILE TECHNOLOGY, BERHAMPORE",Mechanical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,SC,847,1134
28,Round 1,"GOVT. COLLEGE OF ENGG. & TEXTILE TECHNOLOGY, BERHAMPORE",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - A,934,934
29,Round 1,"GOVT. COLLEGE OF ENGG. & TEXTILE TECHNOLOGY, BERHAMPORE",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,EWS,1008,1008
30,Round 1,"GOVT. COLLEGE OF ENGG. & TEXTILE TECHNOLOGY, BERHAMPORE",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,Open,492,725
31,Round 1,"GOVT. COLLEGE OF ENGG. & TEXTILE TECHNOLOGY, BERHAMPORE",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,SC,1027,1027
32,Round 1,"GOVT. COLLEGE OF ENGG. & TEXTILE TECHNOLOGY, BERHAMPORE",Textile Technology,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - A,2871,4274
33,Round 1,"GOVT. COLLEGE OF ENGG. & TEXTILE TECHNOLOGY, BERHAMPORE",Textile Technology,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,Open,989,2030
34,Round 1,"GOVT. COLLEGE OF ENGG. & TEXTILE TECHNOLOGY, BERHAMPORE",Textile Technology,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,SC,2555,2732
35,Round 1,"GOVT. COLLEGE OF ENGINEERING & CERAMIC TECHNOLOGY, KOLKATA",Information Technology,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - A,446,446
36,Round 1,"GOVT. COLLEGE OF ENGINEERING & CERAMIC TECHNOLOGY, KOLKATA",Information Technology,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,EWS,633,633
37,Round 1,"GOVT. COLLEGE OF ENGINEERING & CERAMIC TECHNOLOGY, KOLKATA",Information Technology,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,Open,266,315
38,Round 1,"GOVT. COLLEGE OF ENGINEERING & CERAMIC TECHNOLOGY, KOLKATA",Information Technology,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,SC,505,722
39,Round 1,"GOVT. COLLEGE OF ENGINEERING & CERAMIC TECHNOLOGY, KOLKATA",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - A,253,253
40,Round 1,"GOVT. COLLEGE OF ENGINEERING & CERAMIC TECHNOLOGY, KOLKATA",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - B,387,387
41,Round 1,"GOVT. COLLEGE OF ENGINEERING & CERAMIC TECHNOLOGY, KOLKATA",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,EWS,660,660
42,Round 1,"GOVT. COLLEGE OF ENGINEERING & CERAMIC TECHNOLOGY, KOLKATA",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,Open,75,245
43,Round 1,"GOVT. COLLEGE OF ENGINEERING & CERAMIC TECHNOLOGY, KOLKATA",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,SC,337,473
44,Round 1,"GOVT. COLLEGE OF ENGINEERING & CERAMIC TECHNOLOGY, KOLKATA",CERAMIC ENGINEERING AND TECHNOLOGY,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,EWS,1379,1379
45,Round 1,"GOVT. COLLEGE OF ENGINEERING & CERAMIC TECHNOLOGY, KOLKATA",CERAMIC ENGINEERING AND TECHNOLOGY,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,Open,388,613
46,Round 1,"GOVT. COLLEGE OF ENGINEERING & CERAMIC TECHNOLOGY, KOLKATA",CERAMIC ENGINEERING AND TECHNOLOGY,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,SC,1133,1133
47,Round 1,"GOVT. COLLEGE OF ENGINEERING & TEXTILE TECHNOLOGY, SERAMPORE",Information Technology,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - A,728,784
48,Round 1,"GOVT. COLLEGE OF ENGINEERING & TEXTILE TECHNOLOGY, SERAMPORE",Information Technology,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,EWS,1084,1084
49,Round 1,"GOVT. COLLEGE OF ENGINEERING & TEXTILE TECHNOLOGY, SERAMPORE",Information Technology,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,Open,476,718
50,Round 1,"GOVT. COLLEGE OF ENGINEERING & TEXTILE TECHNOLOGY, SERAMPORE",Information Technology,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,SC,990,1296
51,Round 1,"GOVT. COLLEGE OF ENGINEERING & TEXTILE TECHNOLOGY, SERAMPORE",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - A,645,645
52,Round 1,"GOVT. COLLEGE OF ENGINEERING & TEXTILE TECHNOLOGY, SERAMPORE",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,EWS,643,643
53,Round 1,"GOVT. COLLEGE OF ENGINEERING & TEXTILE TECHNOLOGY, SERAMPORE",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,Open,183,338
54,Round 1,"GOVT. COLLEGE OF ENGINEERING & TEXTILE TECHNOLOGY, SERAMPORE",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,Open (PwD),1147,1147
55,Round 1,"GOVT. COLLEGE OF ENGINEERING & TEXTILE TECHNOLOGY, SERAMPORE",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,SC,874,908
56,Round 1,"GOVT. COLLEGE OF ENGINEERING & TEXTILE TECHNOLOGY, SERAMPORE",Textile Technology,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - A,2549,2549
57,Round 1,"GOVT. COLLEGE OF ENGINEERING & TEXTILE TECHNOLOGY, SERAMPORE",Textile Technology,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,EWS,3421,3421
58,Round 1,"GOVT. COLLEGE OF ENGINEERING & TEXTILE TECHNOLOGY, SERAMPORE",Textile Technology,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,Open,293,856
59,Round 1,"GOVT. COLLEGE OF ENGINEERING & TEXTILE TECHNOLOGY, SERAMPORE",Textile Technology,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,Open (PwD),2827,2827
60,Round 1,"GOVT. COLLEGE OF ENGINEERING & TEXTILE TECHNOLOGY, SERAMPORE",Textile Technology,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,SC,1121,1683
61,Round 1,"GOVT. COLLEGE OF ENGINEERING & TEXTILE TECHNOLOGY, SERAMPORE",Apparel & Production Management,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - A,3479,3479
62,Round 1,"GOVT. COLLEGE OF ENGINEERING & TEXTILE TECHNOLOGY, SERAMPORE",Apparel & Production Management,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,Open,876,2105
63,Round 1,"GOVT. COLLEGE OF ENGINEERING & TEXTILE TECHNOLOGY, SERAMPORE",Apparel & Production Management,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,SC,2240,2788
64,Round 1,"GOVT. COLLEGE OF ENGINEERING & TEXTILE TECHNOLOGY, SERAMPORE",Apparel & Production Management,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,ST,3736,3736
65,Round 1,"INSTITUTE OF PHARMACY, JALPAIGURI",B.Pharm/Pharmaceutical Technology,B. Pharma (Lateral Entry),WBJEE Seats,Home State,OBC - A,26,26
66,Round 1,"INSTITUTE OF PHARMACY, JALPAIGURI",B.Pharm/Pharmaceutical Technology,B. Pharma (Lateral Entry),WBJEE Seats,Home State,OBC - B,25,25
67,Round 1,"INSTITUTE OF PHARMACY, JALPAIGURI",B.Pharm/Pharmaceutical Technology,B. Pharma (Lateral Entry),WBJEE Seats,Home State,EWS,45,45
68,Round 1,"INSTITUTE OF PHARMACY, JALPAIGURI",B.Pharm/Pharmaceutical Technology,B. Pharma (Lateral Entry),WBJEE Seats,Home State,Open,6,23
69,Round 1,"INSTITUTE OF PHARMACY, JALPAIGURI",B.Pharm/Pharmaceutical Technology,B. Pharma (Lateral Entry),WBJEE Seats,Home State,SC,35,58
70,Round 1,"INSTITUTE OF PHARMACY, JALPAIGURI",B.Pharm/Pharmaceutical Technology,B. Pharma (Lateral Entry),WBJEE Seats,Home State,ST,29,29
71,Round 1,"JALPAIGURI GOVERMENT ENGINEERING COLLEGE,JALPAIGURI",Civil Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - A,622,831
72,Round 1,"JALPAIGURI GOVERMENT ENGINEERING COLLEGE,JALPAIGURI",Civil Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,EWS,482,482
73,Round 1,"JALPAIGURI GOVERMENT ENGINEERING COLLEGE,JALPAIGURI",Civil Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,Open,181,334
74,Round 1,"JALPAIGURI GOVERMENT ENGINEERING COLLEGE,JALPAIGURI",Civil Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,SC,454,528
75,Round 1,"JALPAIGURI GOVERMENT ENGINEERING COLLEGE,JALPAIGURI",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - A,414,452
76,Round 1,"JALPAIGURI GOVERMENT ENGINEERING COLLEGE,JALPAIGURI",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,EWS,646,646
77,Round 1,"JALPAIGURI GOVERMENT ENGINEERING COLLEGE,JALPAIGURI",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,Open,68,182
78,Round 1,"JALPAIGURI GOVERMENT ENGINEERING COLLEGE,JALPAIGURI",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,SC,307,328
79,Round 1,"JALPAIGURI GOVERMENT ENGINEERING COLLEGE,JALPAIGURI",Information Technology,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - A,295,295
80,Round 1,"JALPAIGURI GOVERMENT ENGINEERING COLLEGE,JALPAIGURI",Information Technology,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,EWS,544,544
81,Round 1,"JALPAIGURI GOVERMENT ENGINEERING COLLEGE,JALPAIGURI",Information Technology,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,Open,180,244
82,Round 1,"JALPAIGURI GOVERMENT ENGINEERING COLLEGE,JALPAIGURI",Information Technology,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,SC,271,323
83,Round 1,"JALPAIGURI GOVERMENT ENGINEERING COLLEGE,JALPAIGURI",Mechanical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - A,437,448
84,Round 1,"JALPAIGURI GOVERMENT ENGINEERING COLLEGE,JALPAIGURI",Mechanical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,EWS,1329,1329
85,Round 1,"JALPAIGURI GOVERMENT ENGINEERING COLLEGE,JALPAIGURI",Mechanical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,Open,95,324
86,Round 1,"JALPAIGURI GOVERMENT ENGINEERING COLLEGE,JALPAIGURI",Mechanical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,SC,370,372
87,Round 1,"JALPAIGURI GOVERMENT ENGINEERING COLLEGE,JALPAIGURI",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - A,241,241
88,Round 1,"JALPAIGURI GOVERMENT ENGINEERING COLLEGE,JALPAIGURI",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,EWS,449,449
89,Round 1,"JALPAIGURI GOVERMENT ENGINEERING COLLEGE,JALPAIGURI",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,Open,77,161
90,Round 1,"JALPAIGURI GOVERMENT ENGINEERING COLLEGE,JALPAIGURI",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,SC,209,238
91,Round 1,"JALPAIGURI GOVERMENT ENGINEERING COLLEGE,JALPAIGURI",Electronics & Communication Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - A,409,409
92,Round 1,"JALPAIGURI GOVERMENT ENGINEERING COLLEGE,JALPAIGURI",Electronics & Communication Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,EWS,429,429
93,Round 1,"JALPAIGURI GOVERMENT ENGINEERING COLLEGE,JALPAIGURI",Electronics & Communication Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,Open,73,213
94,Round 1,"JALPAIGURI GOVERMENT ENGINEERING COLLEGE,JALPAIGURI",Electronics & Communication Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,SC,326,341
95,Round 1,"KALYANI GOVERMENT ENGINEERING COLLEGE, KALYANI, NADIA",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - A,208,248
96,Round 1,"KALYANI GOVERMENT ENGINEERING COLLEGE, KALYANI, NADIA",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,EWS,561,561
97,Round 1,"KALYANI GOVERMENT ENGINEERING COLLEGE, KALYANI, NADIA",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,Open,45,149
98,Round 1,"KALYANI GOVERMENT ENGINEERING COLLEGE, KALYANI, NADIA",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,SC,193,218
99,Round 1,"KALYANI GOVERMENT ENGINEERING COLLEGE, KALYANI, NADIA",Information Technology,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - A,250,279
100,Round 1,"KALYANI GOVERMENT ENGINEERING COLLEGE, KALYANI, NADIA",Information Technology,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - B,154,154
101,Round 1,"KALYANI GOVERMENT ENGINEERING COLLEGE, KALYANI, NADIA",Information Technology,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,EWS,233,233
102,Round 1,"KALYANI GOVERMENT ENGINEERING COLLEGE, KALYANI, NADIA",Information Technology,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,Open,66,143
103,Round 1,"KALYANI GOVERMENT ENGINEERING COLLEGE, KALYANI, NADIA",Information Technology,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,SC,335,390
104,Round 1,"KALYANI GOVERMENT ENGINEERING COLLEGE, KALYANI, NADIA",Mechanical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - A,693,1026
105,Round 1,"KALYANI GOVERMENT ENGINEERING COLLEGE, KALYANI, NADIA",Mechanical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - B,423,512
106,Round 1,"KALYANI GOVERMENT ENGINEERING COLLEGE, KALYANI, NADIA",Mechanical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,EWS,457,457
107,Round 1,"KALYANI GOVERMENT ENGINEERING COLLEGE, KALYANI, NADIA",Mechanical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,Open,92,284
108,Round 1,"KALYANI GOVERMENT ENGINEERING COLLEGE, KALYANI, NADIA",Mechanical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,Open (PwD),3593,3593
109,Round 1,"KALYANI GOVERMENT ENGINEERING COLLEGE, KALYANI, NADIA",Mechanical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,SC,302,582
110,Round 1,"KALYANI GOVERMENT ENGINEERING COLLEGE, KALYANI, NADIA",Mechanical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,ST,1439,1439
111,Round 1,"KALYANI GOVERMENT ENGINEERING COLLEGE, KALYANI, NADIA",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - A,97,97
112,Round 1,"KALYANI GOVERMENT ENGINEERING COLLEGE, KALYANI, NADIA",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,EWS,137,137
113,Round 1,"KALYANI GOVERMENT ENGINEERING COLLEGE, KALYANI, NADIA",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,Open,20,59
114,Round 1,"KALYANI GOVERMENT ENGINEERING COLLEGE, KALYANI, NADIA",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,SC,272,314
115,Round 1,"KALYANI GOVERMENT ENGINEERING COLLEGE, KALYANI, NADIA",Electronics & Communication Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - A,311,428
116,Round 1,"KALYANI GOVERMENT ENGINEERING COLLEGE, KALYANI, NADIA",Electronics & Communication Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,EWS,356,356
117,Round 1,"KALYANI GOVERMENT ENGINEERING COLLEGE, KALYANI, NADIA",Electronics & Communication Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,Open,37,164
118,Round 1,"KALYANI GOVERMENT ENGINEERING COLLEGE, KALYANI, NADIA",Electronics & Communication Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,SC,313,463
119,Round 1,"RAMKRISHNA MAHATO GOVERNMENT ENGINEERING COLLEGE, PURULIA",Civil Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - A,816,997
120,Round 1,"RAMKRISHNA MAHATO GOVERNMENT ENGINEERING COLLEGE, PURULIA",Civil Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - B,785,786
121,Round 1,"RAMKRISHNA MAHATO GOVERNMENT ENGINEERING COLLEGE, PURULIA",Civil Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,EWS,1131,1131
122,Round 1,"RAMKRISHNA MAHATO GOVERNMENT ENGINEERING COLLEGE, PURULIA",Civil Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,Open,198,631
123,Round 1,"RAMKRISHNA MAHATO GOVERNMENT ENGINEERING COLLEGE, PURULIA",Civil Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,Open (PwD),1226,1226
124,Round 1,"RAMKRISHNA MAHATO GOVERNMENT ENGINEERING COLLEGE, PURULIA",Civil Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,SC,705,774
125,Round 1,"RAMKRISHNA MAHATO GOVERNMENT ENGINEERING COLLEGE, PURULIA",Civil Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,ST,1570,1570
126,Round 1,"RAMKRISHNA MAHATO GOVERNMENT ENGINEERING COLLEGE, PURULIA",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - A,711,1030
127,Round 1,"RAMKRISHNA MAHATO GOVERNMENT ENGINEERING COLLEGE, PURULIA",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - B,644,644
128,Round 1,"RAMKRISHNA MAHATO GOVERNMENT ENGINEERING COLLEGE, PURULIA",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,EWS,1102,1102
129,Round 1,"RAMKRISHNA MAHATO GOVERNMENT ENGINEERING COLLEGE, PURULIA",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,Open,168,553
130,Round 1,"RAMKRISHNA MAHATO GOVERNMENT ENGINEERING COLLEGE, PURULIA",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,SC,563,744
131,Round 1,"RAMKRISHNA MAHATO GOVERNMENT ENGINEERING COLLEGE, PURULIA",Electrical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,ST,968,968
132,Round 1,"RAMKRISHNA MAHATO GOVERNMENT ENGINEERING COLLEGE, PURULIA",Mechanical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - A,1135,2285
133,Round 1,"RAMKRISHNA MAHATO GOVERNMENT ENGINEERING COLLEGE, PURULIA",Mechanical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - B,1085,1085
134,Round 1,"RAMKRISHNA MAHATO GOVERNMENT ENGINEERING COLLEGE, PURULIA",Mechanical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,EWS,1939,1939
135,Round 1,"RAMKRISHNA MAHATO GOVERNMENT ENGINEERING COLLEGE, PURULIA",Mechanical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,Open,330,930
136,Round 1,"RAMKRISHNA MAHATO GOVERNMENT ENGINEERING COLLEGE, PURULIA",Mechanical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,SC,1088,1557
137,Round 1,"RAMKRISHNA MAHATO GOVERNMENT ENGINEERING COLLEGE, PURULIA",Mechanical Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,ST,1497,1497
138,Round 1,"RAMKRISHNA MAHATO GOVERNMENT ENGINEERING COLLEGE, PURULIA",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,OBC - A,675,766
139,Round 1,"RAMKRISHNA MAHATO GOVERNMENT ENGINEERING COLLEGE, PURULIA",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,EWS,849,849
140,Round 1,"RAMKRISHNA MAHATO GOVERNMENT ENGINEERING COLLEGE, PURULIA",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),WBJEE Seats,Home State,Open,125,593
